insee_code,commune_name,latitude,longitude
02119,Brécy,49.1402,3.4263
02120,Brenelle,49.3694,3.5459
02121,Breny,49.1826,3.3513
02122,Brie,49.5992,3.4722
02123,Brissay-Choigny,49.7224,3.4042
02124,Brissy-Hamégicourt,49.7458,3.4011
02125,Brumetz,49.1124,3.1528
02126,Brunehamel,49.7686,4.188
02127,Bruyères-sur-Fère,49.1994,3.445
02128,Bruyères-et-Montbérault,49.5184,3.6698
02129,Bruys,49.2595,3.5669
02130,Bucilly,49.8636,4.0938
02131,Bucy-le-Long,49.39,3.3923
02132,Bucy-lès-Cerny,49.5799,3.493
02133,Bucy-lès-Pierrepont,49.6494,3.904
02134,Buire,49.908,4.0561
02135,Buironfosse,49.958,3.8371
02136,Burelles,49.7702,3.9148
02137,Bussiares,49.0749,3.2501
02138,Buzancy,49.3086,3.3487
02139,Caillouël-Crépigny,49.6174,3.1226
02140,Camelin,49.5244,3.1243
02141,La Capelle,49.9705,3.9146
02142,Castres,49.803,3.2576
02143,Le Catelet,50.0008,3.2425
02144,Caulaincourt,49.8646,3.1078
02145,Caumont,49.6374,3.173
02146,Celles-lès-Condé,49.0158,3.5703
02148,Celles-sur-Aisne,49.4135,3.4701
02149,Cerizy,49.7667,3.3346
02150,Cerny-en-Laonnois,49.4492,3.6803
02151,Cerny-lès-Bucy,49.5791,3.5466
02152,Cerseuil,49.3259,3.5175
02153,Cessières-Suzy,49.5575,3.4817
02154,Chacrise,49.3008,3.3964
02155,Chaillevois,49.5087,3.5233
02156,Chalandry,49.6691,3.6474
02157,Chambry,49.5985,3.6719
02158,Chamouille,49.4723,3.671
02159,Champs,49.538,3.257
02160,Chaourse,49.703,3.9837
02162,La Chapelle-sur-Chézy,48.9495,3.375
02163,Charly-sur-Marne,48.9821,3.2936
02164,Le Charmel,49.1106,3.5446
02165,Charmes,49.6524,3.3834
02166,Chartèves,49.0894,3.504
02167,Chassemy,49.3778,3.5046
02168,Château-Thierry,49.0556,3.3784
02169,Châtillon-lès-Sons,49.7629,3.6986
02170,Châtillon-sur-Oise,49.7951,3.4173
02171,Chaudardes,49.3968,3.788
02172,Chaudun,49.3141,3.2508
02173,Chauny,49.6185,3.2192
02174,Chavignon,49.4782,3.5155
02175,Chavigny,49.4229,3.309
02176,Chavonne,49.4081,3.5614
02177,Chérêt,49.5147,3.6878
02178,Chermizy-Ailles,49.464,3.7196
02179,Chéry-Chartreuve,49.2529,3.6081
02180,Chéry-lès-Pouilly,49.6479,3.5886
02181,Chéry-lès-Rozoy,49.7245,4.1026
02182,Chevennes,49.8196,3.7386
02183,Chevregny,49.47,3.595
02184,Chevresis-Monceau,49.7657,3.5843
02185,Chézy-en-Orxois,49.1247,3.1565
02186,Chézy-sur-Marne,48.9857,3.3882
02187,Chierry,49.0326,3.4321
02188,Chigny,49.9291,3.7728
02189,Chivres-en-Laonnois,49.6256,3.8576
02190,Chivres-Val,49.4048,3.4371
02191,Chivy-lès-Étouvelles,49.5334,3.5838
02192,Chouy,49.2154,3.2433
02193,Cierges,49.1659,3.6022
02194,Cilly,49.7473,3.8421
02195,Ciry-Salsogne,49.3693,3.4664
02196,Clacy-et-Thierret,49.5546,3.5651
02197,Clairfontaine,49.969,3.9919
02198,Clamecy,49.4274,3.3654
02199,Clastres,49.7491,3.228
02200,Clermont-les-Fermes,49.6602,3.9448
02201,Cœuvres-et-Valsery,49.324,3.1496
02203,Coincy,49.1548,3.4331
02204,Coingt,49.7928,4.0956
02205,Colligis-Crandelain,49.4696,3.628
02206,Colonfay,49.8575,3.7117
02207,Commenchon,49.6415,3.1488
02208,Concevreux,49.3781,3.7828
02209,Condé-en-Brie,48.9999,3.5602
02210,Condé-sur-Aisne,49.4014,3.4684
02211,Condé-sur-Suippe,49.4147,3.9447
02212,Condren,49.6332,3.2767
02213,Connigis,49.0357,3.532
02214,Contescourt,49.7921,3.2343
02215,Corbeny,49.4613,3.8256
02216,Corcy,49.2528,3.1957
02217,Coucy-le-Château-Auffrique,49.514,3.3178
02218,Coucy-lès-Eppes,49.556,3.7811
02219,Coucy-la-Ville,49.5414,3.3413
02220,Coulonges-Cohan,49.1958,3.6238
02221,Coupru,49.0304,3.2749
02222,Courbes,49.6804,3.4567
02223,Courboin,48.9956,3.5127
02224,Courcelles-sur-Vesle,49.3464,3.576
02225,Courchamps,49.1152,3.261
02226,Courmelles,49.3456,3.2994
02227,Courmont,49.1411,3.5712
02228,Courtemont-Varennes,49.0719,3.5414
02229,Courtrizy-et-Fussigny,49.5152,3.7953
02230,Couvrelles,49.3328,3.485
