code_insee,commune,cout_moyen_secheresse
01384,Saint-Rambert-en-Bugey,Pas de sinistre répertorié à CCR
01385,Saint-Rémy,Plus de 20 k€
01386,Saint-Sorlin-en-Bugey,"Entre 0 et 2,5 k€"
01387,Saint-Sulpice,"Entre 0 et 2,5 k€"
01388,Saint-Trivier-de-Courtes,Entre 5 et 10 k€
01389,Saint-Trivier-sur-Moignans,"Entre 0 et 2,5 k€"
01390,Saint-Vulbas,Pas de sinistre répertorié à CCR
01391,Salavre,Plus de 20 k€
01392,Samognat,Pas de sinistre répertorié à CCR
01393,Sandrans,Pas de sinistre répertorié à CCR
01396,Sault-Brénaz,Pas de sinistre répertorié à CCR
01397,Sauverny,Pas de sinistre répertorié à CCR
01398,Savigneux,Pas de sinistre répertorié à CCR
01399,Ségny,"Entre 2,5 et 5 k€"
01400,Seillonnaz,Pas de sinistre répertorié à CCR
01401,Sergy,Pas de sinistre répertorié à CCR
01402,Sermoyer,Entre 5 et 10 k€
01403,Serrières-de-Briord,Pas de sinistre répertorié à CCR
01404,Serrières-sur-Ain,"Entre 0 et 2,5 k€"
01405,Servas,Pas de sinistre répertorié à CCR
01406,Servignat,Pas de sinistre répertorié à CCR
01407,Seyssel,Pas de sinistre répertorié à CCR
01408,Simandre-sur-Suran,"Entre 0 et 2,5 k€"
01410,Sonthonnax-la-Montagne,Pas de sinistre répertorié à CCR
01411,Souclin,Pas de sinistre répertorié à CCR
01412,Sulignat,Pas de sinistre répertorié à CCR
01415,Talissieu,Pas de sinistre répertorié à CCR
01416,Tenay,Pas de sinistre répertorié à CCR
01418,Thil,Pas de sinistre répertorié à CCR
01419,Thoiry,Pas de sinistre répertorié à CCR
01420,Thoissey,"Entre 0 et 2,5 k€"
01421,Torcieu,Pas de sinistre répertorié à CCR
01422,Tossiat,Entre 10 et 20k€
01423,Toussieux,Pas de sinistre répertorié à CCR
01424,Tramoyes,Pas de sinistre répertorié à CCR
01425,La Tranclière,"Entre 0 et 2,5 k€"
01426,Val-Revermont,Entre 10 et 20k€
01427,Trévoux,Entre 10 et 20k€
01428,Valeins,Pas de sinistre répertorié à CCR
01429,Vandeins,Entre 5 et 10 k€
01430,Varambon,Pas de sinistre répertorié à CCR
01431,Vaux-en-Bugey,Pas de sinistre répertorié à CCR
01432,Verjon,Pas de sinistre répertorié à CCR
01433,Vernoux,"Entre 0 et 2,5 k€"
01434,Versailleux,Pas de sinistre répertorié à CCR
01435,Versonnex,Pas de sinistre répertorié à CCR
01436,Vesancy,Pas de sinistre répertorié à CCR
